症例から学ぶくん,標準病名,コメント,選択肢->標準病名
けが,,部位により名称が異なります。怪我をしたのはどの部位ですか？,頭->頭部外傷,顔->顔面挫傷,首->頸部外傷,肩・腕・手->上肢外傷,胸->胸部外傷,腹->腹部外傷,腰->腰部損傷,泌尿器・肛門->尿道外傷,足->下肢外傷,皮膚->皮膚損傷
こわばり,,部位により名称が異なります。こわばりがあるのはどの部位ですか？,肩・腕・手->上肢知覚異常,足->下肢知覚障害
しこり,,部位により名称が異なります。しこりがあるのはどの部位ですか？,顔->顔面腫瘤,首->頸部腫瘤,肩・腕・手->上腕腫瘤,足->下腿腫瘤
しびれ,,部位により名称が異なります。しびれがあるのはどの部位ですか？,頭->しびれ,顔->顔面麻痺,首->頸部しびれ,肩・腕・手->上肢しびれ,胸->半身しびれ,腰->腰足知覚障害,足->下肢しびれ
はれもの,,部位により名称が異なります。はれものがあるのはどの部位ですか？,頭->頭部浮腫,顔->顔面浮腫,眼->眼瞼浮腫,肩・腕・手->上肢浮腫,皮膚->浮腫
ヘルペス,,部位により名称が異なります。ヘルペスがあるのはどの部位ですか？,口・喉・あご->口唇ヘルペス,泌尿器・肛門->陰部ヘルペス,皮膚->ヘルペス
むくみ,,部位により名称が異なります。むくみがあるのはどの部位ですか？,全身->浮腫,肩・腕・手->上肢浮腫,足->下肢浮腫
やけど,,部位により名称が異なります。やけどがあるのはどの部位ですか？,頭->頭部熱傷,顔->顔面熱傷,首->頸部熱傷,肩・腕・手->上肢熱傷,胸->胸部熱傷,腹->腹部熱傷,腰->背部熱傷,泌尿器・肛門->肛門熱傷,足->下肢熱傷,皮膚->熱傷
関節痛,,部位により名称が異なります。関節痛があるのはどの部位ですか？,全身->関節痛,肩・腕・手->上肢関節痛,足->下肢関節痛
筋肉痛,,部位により名称が異なります。筋肉痛があるのはどの部位ですか？,全身->筋肉痛,首->頚肩部筋肉痛,肩・腕・手->上肢筋肉痛,腰->背部筋肉痛,足->下肢筋肉痛
神経痛,,部位により名称が異なります。神経痛があるのはどの部位ですか？,全身->神経痛,腰->背部神経痛
捻挫（ねんざ）,,部位により名称が異なります。捻挫があるのはどの部位ですか？,肩・腕・手->上肢捻挫,足->下肢捻挫
麻痺,,部位により名称が異なります。麻痺があるのはどの部位ですか？,全身->麻痺,肩・腕・手->上肢麻痺,足->下肢麻痺
痙攣（けいれん）,,部位により名称が異なります。痙攣があるのはどの部位ですか？,肩・腕・手->上肢痙縮,足->下肢痙攣
あごの痛み,顎関節症,いつから、どんな時に、どのような痛みがあるのか、症状の経過や、気が付いた点なども併せて伝えましょう。,
あせも,汗疹,,
アトピー性皮膚炎,アトピー性皮膚炎,,
いびき,いびき,いつ頃から、どのような時にいびきが生じますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
いぼ,疣贅,,
うおのめ（魚の目）・たこ,鶏眼,,
うつ気分,うつ,,
お腹が張る,腹部膨満,,
お腹が痛い,腹痛,,
かぶれ（接触性皮膚炎）,接触性皮膚炎,,
かゆい,眼部そう痒,いつ頃から、どのような時にかゆみを感じますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
ぎっくり腰,急性腰痛症,,
くしゃみがでる,くしゃみ,いつ頃からくしゃみが出ますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
頭のけが,頭部外傷,いつ、何故けがをしたのか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
顔のけが,顔面挫傷,いつ、何故けがをしたのか、症状の経過なども併せて伝えましょう。,
首のけが,頸部外傷,いつ、何故けがをしたのか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
肩, 腕, 手のけが,上肢外傷,いつ、何故けがをしたのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
胸のけが,胸部外傷,,
腹のけが,腹部外傷,,
泌尿器, 肛門のけが,尿道外傷,,
足のけが,下肢外傷,,
皮膚のけが,皮膚損傷,,
腰のけが,腰部損傷,,
ゴロゴロする,眼部違和感,いつ頃から、どのような時に違和感がありますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
肩, 腕, 手のこわばり,上肢知覚異常,いつ頃から、どのようなこわばりがあるのか、症状の経過や、気が付いた点なども併せて伝えましょう。,
足のこわばり,下肢知覚障害,,
顔のしこり,顔面腫瘤,いつから腫瘤があるのか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
首のしこり,頸部腫瘤,いつから腫瘤があるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
肩, 腕, 手のしこり,上腕腫瘤,いつ頃から腫瘤があるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
足のしこり,下腿腫瘤,,
頭のしびれ,しびれ,いつからしびれがあるのか、症状の経過、他に気が付いた事などもあれば併せて伝えましょう。,
顔のしびれ,顔面麻痺,いつから、主にどこに麻痺があるのか、症状の経過、他に気が付いた事などもあれば併せて伝えましょう。,
首のしびれ,頸部しびれ,いつからしびれがあるのか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
肩, 腕, 手のしびれ,上肢しびれ,いつ頃からしびれがあるのか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
胸のしびれ,半身しびれ,,
腰のしびれ,腰足知覚障害,,
足のしびれ,下肢しびれ,,
しゃっくり（吃逆）,しゃっくり,いつからしゃっくりがありますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
じんましん,蕁麻疹,,
ストレス,ストレス,,
せき,咳,いつ頃から、どのくらいの頻度で、どのような咳が出ますか？ 症状の経過や、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
たん,喀痰,いつ頃から、どのくらいの痰が出ますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
においがわからない,嗅覚異常,いつ頃から嗅覚異常がありますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
ニキビ（尋常性ざそう）,尋常性ざ瘡,,
のどが痛い,咽頭痛,いつから、どんな時に、どのような痛みがあるのか、症状の経過や、気が付いた点なども併せて伝えましょう。,
のどに何かある感じ,咽喉頭異常感,いつから異常感があるのか、症状の経過や、気が付いた点なども併せて伝えましょう。,
頭のはれもの,頭部浮腫,いつから浮腫があるのか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
顔のはれもの,顔面浮腫,いつから浮腫があるのか、症状の経過なども併せて伝えましょう。,
眼のはれもの,眼瞼浮腫,いつから浮腫があるのか、症状の経過なども併せて伝えましょう。,
肩, 腕, 手のはれもの,上肢浮腫,いつ頃から浮腫があるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
皮膚のはれもの,浮腫,,
肩, 腕, 手のひび・あかぎれ・しもやけ,凍瘡,いつから凍瘡があるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
皮膚のひび・あかぎれ・しもやけ,凍瘡,,
ふらつき・平衡感覚の乱れ,平衡障害,いつ頃から、どのような時にふらつきがあるのか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
