耳がふさがった感じ,
ガングリ,-1
癌要因病変,-1
腫瘤生病変,-1
１型呼吸不全,１型呼吸不全
１型糖尿病,１型糖尿病
１型糖尿病合併妊娠,１型糖尿病合併妊娠
１型糖尿病性ケトアシドーシス,１型糖尿病性ケトアシドーシス
１型糖尿病性腎症,１型糖尿病性腎症
２型双極性障害,２型双極性障害
２型呼吸不全,２型呼吸不全
２型尿細管性アシドーシス,２型尿細管性アシドーシス
２型糖尿病,２型糖尿病
２型糖尿病合併妊娠,２型糖尿病合併妊娠
２型糖尿病性昏睡,２型糖尿病性昏睡
２型糖尿病性網膜症,２型糖尿病性網膜症
２型糖尿病性腎不全,２型糖尿病性腎不全
２型糖尿病性腎症,２型糖尿病性腎症
２型糖尿病性腎症第２期,２型糖尿病性腎症第２期
２型糖尿病性黄斑浮腫,２型糖尿病性黄斑浮腫
４型尿細管性アシドーシス,４型尿細管性アシドーシス
ＡＩＤＳ,ＡＩＤＳ
ＡＬアミロイドーシス,ＡＬアミロイドーシス
ＡＮＣＡ関連腎炎,ＡＮＣＡ関連腎炎
ＡＮＣＡ関連血管炎,ＡＮＣＡ関連血管炎
ＡＶＭ,ＡＶＭ
Ａ型劇症肝炎,Ａ型劇症肝炎
Ａ型肝炎,Ａ型肝炎
Ａ型食道閉鎖,Ａ型食道閉鎖
ＢＫウイルス腎症,ＢＫウイルス腎症
Ｂ型劇症肝炎,Ｂ型劇症肝炎
Ｂ型急性肝炎,Ｂ型急性肝炎
Ｂ型慢性肝炎,Ｂ型慢性肝炎
Ｂ型肝炎,Ｂ型肝炎
Ｂ型肝炎ウイルス感染,Ｂ型肝炎ウイルス感染
Ｂ型肝硬変,Ｂ型肝硬変
Ｂ型非代償性肝硬変,Ｂ型非代償性肝硬変
ＣＡＰＤ腹膜炎,ＣＡＰＤ腹膜炎
CAEが高い,ＣＥＡ高値
CEAが高い,ＣＥＡ高値
CEAの値が高い,ＣＥＡ高値
CEA上昇,ＣＥＡ高値
ＣＥＡ値がたかい,ＣＥＡ高値
CEA値が高い,ＣＥＡ高値
癌陽性の可能性,ＣＥＡ高値
胎児性抗原高値,ＣＥＡ高値
腫瘍マーカー,ＣＥＡ高値
腫瘍マーカー上昇,ＣＥＡ高値
ＣＨＡＲＧＥ症候群,ＣＨＡＲＧＥ症候群
ＣＭ関節脱臼,ＣＭ関節脱臼
ＣＯ２ナルコーシス,ＣＯ２ナルコーシス
Ｃ型代償性肝硬変,Ｃ型代償性肝硬変
Ｃ型急性肝炎,Ｃ型急性肝炎
Ｃ型慢性肝炎,Ｃ型慢性肝炎
Ｃ型肝炎,Ｃ型肝炎
Ｃ型肝炎ウイルス感染,Ｃ型肝炎ウイルス感染
Ｃ型肝硬変,Ｃ型肝硬変
Ｃ型非代償性肝硬変,Ｃ型非代償性肝硬変
Ｃ型食道閉鎖,Ｃ型食道閉鎖
ＤＩＰ関節炎,ＤＩＰ関節炎
Ｄ型肝炎,Ｄ型肝炎
ＥＢウイルス感染症,ＥＢウイルス感染症
ＥＤＴＡ依存性偽性血小板減少症,ＥＤＴＡ依存性偽性血小板減少症
ＥＲＣＰ後膵炎,ＥＲＣＰ後膵炎
Ｅ型肝炎,Ｅ型肝炎
