出現形	ICDコード	標準病名	しゅつげんけい	東大診療録頻度
疼痛	R529	疼痛	とうつう	1957360
発熱	R509	発熱	はつねつ	1267628
嘔気	R11	嘔気	おうき	735199
出血	R58	出血	しゅっけつ	734811
糖尿病	E14	糖尿病	とうにょうびょう	582195
発赤	R21	発赤	ほっせき	481486
浮腫	R609	浮腫	ふしゅ	405515
頭痛	R51	頭痛	ずつう	402859
貧血	D649	貧血	ひんけつ	349161
圧痛	R529	圧痛	あっつう	329211
肺炎	J189	肺炎	はいえん	296313
倦怠感	R53	倦怠感	けんたいかん	292333
脳梗塞	I639	脳梗塞	のうこうそく	218569
腫瘍	D489	腫瘍	しゅよう	217188
脂質異常症	E785	脂質異常症	ししついじょうしょう	210982
腫瘤	R229	腫瘤	しゅりゅう	207116
低血糖	E162	低血糖	ていけっとう	198291
心不全	I509	心不全	しんふぜん	194683
２型糖尿病	E11	２型糖尿病	にがたとうにょうびょう	176360
白内障	H269	白内障	はくないしょう	169377
胃癌	C169	胃癌	いがん	165077
高血圧症	I10	高血圧症	こうけつあつしょう	149606
間質性肺炎	J849	間質性肺炎	かんしつせいはいえん	140892
胸痛	R074	胸痛	きょうつう	136037
めまい	R42	めまい	めまい	128927
意識障害	R402	意識障害	いしきしょうがい	127383
誤嚥性肺炎	J690	誤嚥性肺炎	ごえんせいはいえん	122660
高脂血症	E785	高脂血症	こうしけっしょう	119814
子宮筋腫	D259	子宮筋腫	しきゅうきんしゅ	114590
前立腺癌	C61	前立腺癌	ぜんりつせんがん	114036
食欲不振	R630	食欲不振	しょくよくふしん	112776
動悸	R002	動悸	どうき	109588
下血	K921	下血	げけつ	106978
微熱	R509	微熱	びねつ	106840
関節痛	M2559	関節痛	かんせつつう	106736
肝障害	K769	肝障害	かんしょうがい	105012
直腸癌	C20	直腸癌	ちょくちょうがん	104906
認知症	F03	認知症	にんちしょう	100903
骨粗鬆症	M8199	骨粗鬆症	こつそしょうしょう	100547
口内炎	K121	口内炎	こうないえん	98625
嚥下障害	R13	嚥下障害	えんげしょうがい	97439
狭心症	I209	狭心症	きょうしんしょう	92436
息切れ	R060	息切れ	いきぎれ	91669
構音障害	R471	構音障害	こうおんしょうがい	91477
食道癌	C159	食道癌	しょくどうがん	90827
高尿酸血症	E790	高尿酸血症	こうにょうさんけっしょう	90629
虫垂炎	K37	虫垂炎	ちゅうすいえん	89266
喀痰	R093	喀痰	かくたん	88693
統合失調症	F209	統合失調症	とうごうしっちょうしょう	88260
胆管炎	K830	胆管炎	たんかんえん	88153
下腿浮腫	R600	下腿浮腫	かたいふしゅ	85377
アレルギー	T784	アレルギー	あれるぎー	84440
気管支喘息	J459	気管支喘息	きかんしぜんそく	84153
不整脈	I499	不整脈	ふせいみゃく	83362
発疹	R21	発疹	ほっしん	82951
うつ病	F329	うつ病	うつびょう	81470
肝機能障害	K769	肝機能障害	かんきのうしょうがい	79529
咽頭痛	J029	咽頭痛	いんとうつう	78876
心房細動	I48	心房細動	しんぼうさいどう	78570
網膜症	H350	網膜症	もうまくしょう	77331
呼吸困難	R060	呼吸困難	こきゅうこんなん	75379
リンパ節腫大	R599	リンパ節腫大	りんぱせつしゅだい	75286
肺癌	C349	肺癌	はいがん	75099
緑内障	H409	緑内障	りょくないしょう	74222
胸水貯留	J90	胸水貯留	きょうすいちょりゅう	73268
血尿	R31	血尿	けつにょう	73028
逆流性食道炎	K210	逆流性食道炎	ぎゃくりゅうせいしょくどうえん	70804
関節リウマチ	M0690	関節リウマチ	かんせつりうまち	70016
慢性胃炎	K295	慢性胃炎	まんせいいえん	69875
腹部膨満	R14	腹部膨満	ふくぶぼうまん	68869
痙攣	R252	痙攣	けいれん	68166
せん妄	F059	せん妄	せんもう	67930
イレウス	K567	イレウス	いれうす	67178
悪性腫瘍	C80	悪性腫瘍	あくせいしゅよう	66994
下肢浮腫	R600	下肢浮腫	かしふしゅ	66630
血腫	T140	血腫	けっしゅ	66312
帯状疱疹	B029	帯状疱疹	たいじょうほうしん	65892
背部痛	M5495	背部痛	はいぶつう	65091
薬疹	L270	薬疹	やくしん	64536
甲状腺機能低下症	E039	甲状腺機能低下症	こうじょうせんきのうていかしょう	64453
蜂窩織炎	L039	蜂窩織炎	ほうかしきえん	62619
疲労感	R53	疲労感	ひろうかん	61892
胃潰瘍	K259	胃潰瘍	いかいよう	57564
大腸ポリープ	K635	大腸ポリープ	だいちょうぽりーぷ	57234
褥瘡	L89	褥瘡	じょくそう	57149
Ｓ状結腸癌	C187	Ｓ状結腸癌	Ｓじょうけっちょうがん	56896
慢性腎不全	N189	慢性腎不全	まんせいじんふぜん	54903
難聴	H919	難聴	なんちょう	54792
骨折	T1420	骨折	こっせつ	54519
大腸癌	C189	大腸癌	だいちょうがん	54271
心筋梗塞	I219	心筋梗塞	しんきんこうそく	53147
乳癌	C509	乳癌	にゅうがん	53086
血便	K921	血便	けつべん	52730
意識消失	R402	意識消失	いしきしょうしつ	51386
腰部脊柱管狭窄症	M4806	腰部脊柱管狭窄症	ようぶせきちゅうかんきょうさくしょう	50608
慢性心不全	I509	慢性心不全	まんせいしんふぜん	50543
腹膜播種	C786	腹膜播種	ふくまくはしゅ	50229
てんかん	G409	てんかん	てんかん	49329
虚血性心疾患	I259	虚血性心疾患	きょけつせいしんしっかん	49262
悪性リンパ腫	C859	悪性リンパ腫	あくせいりんぱしゅ	49001
消化管出血	K922	消化管出血	しょうかかんしゅっけつ	48555
鼻汁	J310	鼻汁	びじゅう	48332
腎不全	N19	腎不全	じんふぜん	47122
腎障害	N289	腎障害	じんしょうがい	46641
湿疹	L309	湿疹	しっしん	46510
悪心	R11	悪心	おしん	46061
リンパ節転移	C779	リンパ節転移	りんぱせつてんい	45476
損傷	T149	損傷	そんしょう	44925
全身倦怠感	R53	全身倦怠感	ぜんしんけんたいかん	44304
子宮体癌	C549	子宮体癌	しきゅうたいがん	43831
萎縮性胃炎	K294	萎縮性胃炎	いしゅくせいいえん	43831
膀胱癌	C679	膀胱癌	ぼうこうがん	43716
強皮症	M349	強皮症	きょうひしょう	43279
早期胃癌	C169	早期胃癌	そうきいがん	42684
咽頭発赤	J392	咽頭発赤	いんとうほっせき	41507
下咽頭癌	C139	下咽頭癌	かいんとうがん	41228
圧迫骨折	T1420	圧迫骨折	あっぱくこっせつ	40526
肝細胞癌	C220	肝細胞癌	かんさいぼうがん	40259
末梢神経障害	G629	末梢神経障害	まっしょうしんけいしょうがい	40032
糖尿病性腎症	E142	糖尿病性腎症	とうにょうびょうせいじんしょう	39491
心雑音	R011	心雑音	しんざつおん	39191
腎盂腎炎	N12	腎盂腎炎	じんうじんえん	39028
心窩部痛	R101	心窩部痛	しんかぶつう	38673
喘鳴	R061	喘鳴	ぜんめい	38507
尿路感染症	N390	尿路感染症	にょうろかんせんしょう	38216
鉄欠乏性貧血	D509	鉄欠乏性貧血	てつけつぼうせいひんけつ	37777
黄疸	R17	黄疸	おうだん	37168
歩行困難	R262	歩行困難	ほこうこんなん	36883
徐脈	R001	徐脈	じょみゃく	36780
嗄声	R490	嗄声	させい	36520
悪寒	R688	悪寒	おかん	36499
筋肉痛	M7919	筋肉痛	きんにくつう	36393
ポリープ	D369	ポリープ	ぽりーぷ	36156
栄養障害	E639	栄養障害	えいようしょうがい	35971
歩行障害	R262	歩行障害	ほこうしょうがい	35966
副鼻腔炎	J329	副鼻腔炎	ふくびくうえん	35735
残尿感	R398	残尿感	ざんにょうかん	35321
花粉症	J301	花粉症	かふんしょう	34982
十二指腸潰瘍	K269	十二指腸潰瘍	じゅうにしちょうかいよう	34929
腰椎圧迫骨折	S3200	腰椎圧迫骨折	ようついあっぱくこっせつ	34124
膠原病	M359	膠原病	こうげんびょう	33742
肺気腫	J439	肺気腫	はいきしゅ	33502
血痰	R042	血痰	けったん	33083
皮膚筋炎	M339	皮膚筋炎	ひふきんえん	33008
卵巣癌	C56	卵巣癌	らんそうがん	32888
前立腺肥大症	N40	前立腺肥大症	ぜんりつせんひだいしょう	32873
脳出血	I619	脳出血	のうしゅっけつ	32754
潰瘍性大腸炎	K519	潰瘍性大腸炎	かいようせいだいちょうえん	32716
敗血症	A419	敗血症	はいけつしょう	32263
黒色便	R195	黒色便	こくしょくべん	32171
心拡大	I517	心拡大	しんかくだい	32160
食道静脈瘤	I859	食道静脈瘤	しょくどうじょうみゃくりゅう	31933
肉眼的血尿	R31	肉眼的血尿	にくがんてきけつにょう	31794
胃痛	R101	胃痛	いつう	31782
無気肺	J981	無気肺	むきはい	31627
脊柱管狭窄症	M4809	脊柱管狭窄症	せきちゅうかんきょうさくしょう	31489
関節炎	M1399	関節炎	かんせつえん	31455
結核	A169	結核	けっかく	31366
皮下気腫	T797	皮下気腫	ひかきしゅ	31242
総胆管結石	K805	総胆管結石	そうたんかんけっせき	31140
肝性脳症	K729	肝性脳症	かんせいのうしょう	30472
腎性貧血	N19	腎性貧血	じんせいひんけつ	29514
幻聴	R440	幻聴	げんちょう	29402
Ｃ型肝炎	B182	Ｃ型肝炎	しーがたかんえん	29399
膵癌	C259	膵癌	すいがん	29054
サルコイドーシス	D869	サルコイドーシス	さるこいどーしす	28970
下肢痛	M7969	下肢痛	かしつう	28901
痙攣発作	R568	痙攣発作	けいれんほっさ	28854
水腎症	N133	水腎症	すいじんしょう	28841
電解質異常	E878	電解質異常	でんかいしついじょう	28787
脂肪肝	K760	脂肪肝	しぼうかん	28556
動脈瘤	I729	動脈瘤	どうみゃくりゅう	28016
睡眠障害	G479	睡眠障害	すいみんしょうがい	27984
発作性心房細動	I48	発作性心房細動	ほっさせいしんぼうさいどう	27830
全身性強皮症	M340	全身性強皮症	ぜんしんせいきょうひしょう	27688
膵炎	K85	膵炎	すいえん	27664
味覚障害	R432	味覚障害	みかくしょうがい	27497
リンパ腫	C859	リンパ腫	りんぱしゅ	27408
排尿障害	R391	排尿障害	はいにょうしょうがい	27258
気胸	J939	気胸	ききょう	27118
子宮腺筋症	N800	子宮腺筋症	しきゅうせんきんしょう	26960
中咽頭癌	C109	中咽頭癌	ちゅういんとうがん	26806
膿瘍	L029	膿瘍	のうよう	26675
腹部大動脈瘤	I714	腹部大動脈瘤	ふくぶだいどうみゃくりゅう	26201
外傷	T149	外傷	がいしょう	26055
複視	H532	複視	ふくし	26031
膀胱炎	N309	膀胱炎	ぼうこうえん	25767
眼振	H55	眼振	がんしん	24878
髄膜炎	G039	髄膜炎	ずいまくえん	24798
睡眠時無呼吸症候群	G473	睡眠時無呼吸症候群	すいみんじむこきゅうしょうこうぐん	24693
慢性腎臓病	N289	慢性腎臓病	まんせいじんぞうびょう	24555
シェーグレン症候群	M350	シェーグレン症候群	しぇーぐれんしょうこうぐん	24539
陳旧性脳梗塞	I693	陳旧性脳梗塞	ちんきゅうせいのうこうそく	24358
心電図異常	R943	心電図異常	しんでんずいじょう	24296
細菌性肺炎	J159	細菌性肺炎	さいきんせいはいえん	24183
失語症	R470	失語症	しつごしょう	24160
尋常性乾癬	L400	尋常性乾癬	じんじょうせいかんせん	24134
肺高血圧症	I270	肺高血圧症	はいこうけつあつしょう	23903
水頭症	G919	水頭症	すいとうしょう	23844
変形性股関節症	M169	変形性股関節症	へんけいせいこかんせつしょう	23824
廃用症候群	M6259	廃用症候群	はいようしょうこうぐん	23804
血管腫	D180	血管腫	けっかんしゅ	23402
尿閉	R33	尿閉	にょうへい	23290
慢性膵炎	K861	慢性膵炎	まんせいすいえん	23035
硬結	R234	硬結	こうけつ	22919
うっ血性心不全	I500	うっ血性心不全	うっけつせいしんふぜん	22903
アトピー性皮膚炎	L209	アトピー性皮膚炎	あとぴーせいひふえん	22653
急性膵炎	K85	急性膵炎	きゅうせいすいえん	22620
皮下出血	R233	皮下出血	ひかしゅっけつ	22485
表皮剥離	T140	表皮剥離	ひょうひはくり	22485
蛋白尿	R80	蛋白尿	たんぱくにょう	22353
閉塞性黄疸	K831	閉塞性黄疸	へいそくせいおうだん	22093
呼吸不全	J969	呼吸不全	こきゅうふぜん	22002
甲状腺乳頭癌	C73	甲状腺乳頭癌	こうじょうせんにゅうとうがん	21950
不眠症	G470	不眠症	ふみんしょう	21908
菌血症	A499	菌血症	きんけつしょう	21806
食道裂孔ヘルニア	K449	食道裂孔ヘルニア	しょくどうれっこうへるにあ	21700
心疾患	I519	心疾患	しんしっかん	21578
慢性心房細動	I48	慢性心房細動	まんせいしんぼうさいどう	21471
子宮頚癌	C539	子宮頚癌	しきゅうけいがん	21451
リンパ浮腫	I890	リンパ浮腫	りんぱふしゅ	21424
喉頭癌	C329	喉頭癌	こうとうがん	21396
不安定狭心症	I200	不安定狭心症	ふあんていきょうしんしょう	21243
陳旧性心筋梗塞	I252	陳旧性心筋梗塞	ちんきゅうせいしんきんこうそく	21033
高次脳機能障害	F069	高次脳機能障害	こうじのうきのうしょうがい	20994
筋性防御	R193	筋性防御	きんせいぼうぎょ	20987
振戦	R251	振戦	しんせん	20966
子宮内膜症	N809	子宮内膜症	しきゅうないまくしょう	20781
パーキンソン病	G20	パーキンソン病	ぱーきんそんびょう	20732
高熱	R509	高熱	こうねつ	20718
見当識障害	R410	見当識障害	けんとうしきしょうがい	20521
中耳炎	H669	中耳炎	ちゅうじえん	20464
アレルギー性鼻炎	J304	アレルギー性鼻炎	あれるぎーせいびえん	20368
上行結腸癌	C182	上行結腸癌	じょうこうけっちょうがん	20243
術後合併症	T818	術後合併症	じゅつごがっぺいしょう	20030
１型糖尿病	E10	１型糖尿病	いちがたとうにょうびょう	19825
多発性骨髄腫	C900	多発性骨髄腫	たはつせいこつずいしゅ	19722
骨髄炎	M8699	骨髄炎	こつずいえん	19703
腎硬化症	N26	腎硬化症	じんこうかしょう	19691
アルツハイマー型認知症	G309	アルツハイマー型認知症	あるつはいまーがたにんちしょう	19689
耐糖能異常	R730	耐糖能異常	たいとうのういじょう	19610
卵巣腫瘍	D391	卵巣腫瘍	らんそうしゅよう	19567
しびれ感	R208	しびれ感	しびれかん	19019
鈍痛	R529	鈍痛	どんつう	18886
腹膜炎	K659	腹膜炎	ふくまくえん	18787
肺水腫	J81	肺水腫	はいすいしゅ	18759
膵頭部癌	C250	膵頭部癌	すいとうぶがん	18713
閉塞性動脈硬化症	I709	閉塞性動脈硬化症	へいそくせいどうみゃくこうかしょう	18650
ネフローゼ症候群	N049	ネフローゼ症候群	ねふろーぜしょうこうぐん	18408
片頭痛	G439	片頭痛	へんずつう	18403
原発性肺癌	C349	原発性肺癌	げんぱつせいはいがん	18303
変形性膝関節症	M179	変形性膝関節症	へんけいせいしつかんせつしょう	18118
筋力低下	R298	筋力低下	きんりょくていか	18050
吐血	K920	吐血	とけつ	17982
肥満症	E669	肥満症	ひまんしょう	17743
椎間板ヘルニア	M512	椎間板ヘルニア	ついかんばんへるにあ	17621
気管支炎	J40	気管支炎	きかんしえん	17418
症候性てんかん	G408	症候性てんかん	しょうこうせいてんかん	17218
瘢痕	L905	瘢痕	はんこん	17117
静脈瘤	I839	静脈瘤	じょうみゃくりゅう	16984
切迫早産	O470	切迫早産	せっぱくそうざん	16804
排尿困難	R391	排尿困難	はいにょうこんなん	16788
肺結核	A162	肺結核	はいけっかく	16781
脱力感	R298	脱力感	だつりょくかん	16376
肺腺癌	C349	肺腺癌	はいせんがん	16265
小児喘息	J450	小児喘息	しょうにぜんそく	16194
内出血	R58	内出血	ないしゅっけつ	16160
回転性めまい	H819	回転性めまい	かいてんせいめまい	16074
横行結腸癌	C184	横行結腸癌	おうこうけっちょうがん	16073
頻呼吸	R068	頻呼吸	ひんこきゅう	15990
癌性疼痛	R522	癌性疼痛	がんせいとうつう	15912
甲状腺癌	C73	甲状腺癌	こうじょうせんがん	15717
肝膿瘍	K750	肝膿瘍	かんのうよう	15620
腸炎	A09	腸炎	ちょうえん	15577
正球性正色素性貧血	D649	正球性正色素性貧血	せいきゅうせいせいしきそせいひんけつ	15531
感染性心内膜炎	I330	感染性心内膜炎	かんせんせいしんないまくえん	15456
脾腫	R161	脾腫	ひしゅ	15447
脳血管障害	I679	脳血管障害	のうけっかんしょうがい	15445
深部静脈血栓症	I802	深部静脈血栓症	しんぶじょうみゃくけっせんしょう	15342
パニック障害	F410	パニック障害	ぱにっくしょうがい	15261
四肢麻痺	G825	四肢麻痺	ししまひ	15226
適応障害	F432	適応障害	てきおうしょうがい	15184
関節拘縮	M2459	関節拘縮	かんせつこうしゅく	15070
脳浮腫	G936	脳浮腫	のうふしゅ	15002
夜間せん妄	F059	夜間せん妄	やかんせんもう	14990
急性腎不全	N179	急性腎不全	きゅうせいじんふぜん	14937
脳腫瘍	D432	脳腫瘍	のうしゅよう	14912
便秘症	K590	便秘症	べんぴしょう	14892
肝不全	K729	肝不全	かんふぜん	14861
甲状腺機能亢進症	E059	甲状腺機能亢進症	こうじょうせんきのうこうしんしょう	14830
乾癬	L409	乾癬	かんせん	14745
胸部不快感	R098	胸部不快感	きょうぶふかいかん	14592
顔面神経麻痺	G510	顔面神経麻痺	がんめんしんけいまひ	14509
筋炎	M6099	筋炎	きんえん	14503
髄膜腫	D329	髄膜腫	ずいまくしゅ	14468
被害妄想	F220	被害妄想	ひがいもうそう	14359
易疲労感	R53	易疲労感	いひろうかん	14322
便失禁	R15	便失禁	べんしっきん	14316
脳動脈瘤	I671	脳動脈瘤	のうどうみゃくりゅう	14270
慢性副鼻腔炎	J329	慢性副鼻腔炎	まんせいふくびくうえん	14066
性器出血	R31	性器出血	せいきしゅっけつ	13938
アルコール性肝障害	K709	アルコール性肝障害	あるこーるせいかんしょうがい	13904
皮膚炎	L309	皮膚炎	ひふえん	13848
坐骨神経痛	M5438	坐骨神経痛	ざこつしんけいつう	13794
多呼吸	R068	多呼吸	たこきゅう	13700
低酸素血症	R090	低酸素血症	ていさんそけっしょう	13652
