患者表現	出現形	標準病名
 むかつきがあってから胃の内容物を排出する現象	悪心嘔吐	悪心,嘔吐症
 血色素尿	血尿	血尿
100回以上の脈拍	頻脈	頻脈症,洞頻脈
1日尿量が100mL以下	無尿	無尿
2型糖尿病	境界型糖尿病	境界型糖尿病
30分以上続く痙攣	痙攣重積状態	痙攣重積発作
37℃台の熱	微熱	微熱
37度くらいの熱	微熱	微熱
38度以上の熱	高熱	高熱
60回未満の不整脈	徐脈	徐脈
ALPが高い血	高ＡＬＰ血症	高アルカリホスファターゼ血症
ALPの数値が高すぎる	高ＡＬＰ血症	高アルカリホスファターゼ血症
BHL	両側肺門リンパ節腫脹	両側肺門リンパ節腫脹
CAEが高い	ＣＥＡ高値	ＣＥＡ高値
CEAが高い	ＣＥＡ高値	ＣＥＡ高値
CEAの値が高い	ＣＥＡ高値	ＣＥＡ高値
CEA上昇	ＣＥＡ高値	ＣＥＡ高値
CEA値が高い	ＣＥＡ高値	ＣＥＡ高値
CH50	低補体血症	低補体血症
CKが高い血	高ＣＫ血症	高クレアチンキナーゼ血症
COPD	閉塞性換気障害,労作時呼吸苦	閉塞性換気障害,労作時呼吸困難
CPKが高い	高ＣＰＫ血症	高クレアチンキナーゼ血症
CPK値が高い症状	高ＣＰＫ血症	高クレアチンキナーゼ血症
CRC	高アミラーゼ血症,低補体血症	高アミラーゼ血症,低補体血症
GDP異常	肝機能異常	肝機能検査異常
GGO	スリガラス陰影	胸部異常陰影
Igeが高い血	高ＩｇＥ血症	高ＩｇＥ血症
JCS低下	意識レベルの低下	意識障害
LDHが高い	高LDH血症	
LDH値が高い症状	高LDH血症	
LGEという血液の成分が高め	高ＩｇＧ血症	高ＩｇＧ血症
MODS	多臓器障害	多臓器不全
SAS	無呼吸	無呼吸発作
SIRS	全身性炎症反応症候群	全身性炎症反応症候群
WPW症候群	房室回帰性頻拍	頻拍症
X 線に影が映る	スリガラス状陰影	胸部異常陰影
X線で肺に影が映る	肺浸潤影	肺部異常陰影
coma	意識混濁	意識混濁
cpkが高い	高ＣＰＫ血症	高クレアチンキナーゼ血症
fever	発熱	発熱
wheezing	喘鳴	喘鳴
ytr	記銘力障害	記銘力低下,記憶障害
Ⅰ型糖尿病ともⅡ型糖尿病とも区別つかない	境界型糖尿病	境界型糖尿病
あおあざ	皮下出血,チアノーゼ	皮下出血,チアノーゼ
あおじ	圧痕浮腫,皮下出血斑	浮腫,皮下出血
あおたん	皮下出血,皮下出血斑,出血斑	皮下出血,斑状出血
あおぢ	皮下出血	皮下出血
あかくなった	発赤	発赤
あかくはれた	発赤腫脹	発赤
あかくはれてる	発赤腫脹	発赤
あかくはれる	粘膜発赤	発赤
あかしん	紅色丘疹	紅色丘疹
あかみ	紅色丘疹	紅色丘疹
あく	浮腫	浮腫
あくしん	悪心	悪心
あげそうな感じ	上腹部不快感	腹部不快感
あげる	嘔吐	嘔吐症
あさ	皮下結節　	
あざ	出血斑,皮下出血斑,点状出血,圧痕浮腫,皮下出血,黄疸	斑状出血,皮下出血,点状出血,浮腫,黄疸
あざになる	皮下出血	皮下出血
あしいた	下肢疼痛	疼痛
あしいたい	下肢疼痛	疼痛
あしうずい	下肢脱力感	下肢脱力感
あしがぐったり	下肢脱力感	下肢脱力感
あしがみだれる	ふらつき	めまい
あしがむくんでる	下腿浮腫	下腿浮腫
あしのいたみ	下肢疼痛	疼痛
あじおんち	味覚障害	味覚障害
あせかき	発汗過多	多汗症
あせだぐ	発汗過多	多汗症
あせっかき	発汗過多	多汗症
あせをおおくかく	発汗過多	多汗症
あぜん	失語症	失語症
あそこから血	性器出血	性器出血
あたまいた	拍動性頭痛,後頭部痛,頭痛,頭部痛	頭痛,後頭部痛
あたまいたい	後頭部痛	後頭部痛
あたまいわす	頭重感	頭重感
あたまがいたい	頭痛	頭痛
あたまがおもいがんじ	頭重感	頭重感
あたまがおもくかんじる	頭重感	頭重感
あたまが痛い	拍動性頭痛	頭痛
あたまが重い感じ	頭重感	頭重感
あだまいでえ	頭痛	頭痛
あちこちのリンパは腫れる	多発リンパ節腫大	リンパ節腫大
あっこんされる	圧痕性浮腫	浮腫
あっぱく	前胸部圧迫感	胸部不快感
あっぱくかん	前胸部圧迫感	胸部不快感
あつい	熱感	ほてり
あついた	温痛	温痛覚過敏
あつい痛い	温痛	温痛覚過敏
あつぽい	熱感	ほてり
あづ	熱	発熱
あづい	高熱,発熱	高熱,発熱
あまり食べたくない	食欲低下	食欲不振
あるがんね	歩行困難	歩行困難
あるくことがふじゆう	歩行困難	歩行困難
あるけん	歩行障害,歩行困難	歩行障害,歩行困難
あるげね	歩行障害	歩行障害
あるはずの無いものが感じられる	幻覚	幻覚
あんし	嘔気嘔吐	嘔気,嘔吐症
あんまりでない	乏尿	乏尿
いがいたい	胃部不快感	腹部不快感
いきがくるしい	呼吸苦,呼吸困難	呼吸促迫,呼吸困難,呼吸困難
いきがくるしいとかんじる	呼吸困難感	呼吸麻痺
いきがとまってる	呼吸停止	呼吸停止
いきがとまる	呼吸停止	呼吸停止
いきぎれ	動悸,労作時呼吸苦,労作時息切れ	動悸,労作時呼吸困難,息切れ
いきなり死亡する	突然死	突然死
いきをするのがつらい	拘束性換気障害	拘束性換気障害
いぎぐるすい	呼吸苦	呼吸促迫,呼吸困難
いくつかの臓器が悪くなる	多臓器不全	多臓器不全
いくつかの臓器の調子が悪い	多臓器障害	多臓器不全
いしきがなくなる	意識レベル低下	意識障害
いしきがはっきりしない	意識レベルの低下	意識障害
いしきぼうぜん	意識混濁	意識混濁
