症例から学ぶくん,標準病名,コメント,選択肢
けが,,部位により病名が異なります。怪我をしたのはどの部位ですか？,頭->頭部外傷,顔->顔面挫傷,首->頸部外傷,肩・腕・手->上肢外傷,胸->胸部外傷,腹->腹部外傷,腰->腰部損傷,泌尿器・肛門->尿道外傷,足->下肢外傷,皮膚->皮膚損傷
こわばり,,部位により病名が異なります。こわばりがあるのはどの部位ですか？,肩・腕・手->上肢知覚異常,足->下肢知覚障害
しこり,,部位により病名が異なります。しこりがあるのはどの部位ですか？,顔->顔面腫瘤,首->頸部腫瘤,肩・腕・手->上腕腫瘤,足->下腿腫瘤
しびれ,,部位により病名が異なります。しびれがあるのはどの部位ですか？,頭->しびれ,顔->顔面麻痺,首->頸部しびれ,肩・腕・手->上肢しびれ,胸->半身しびれ,腰->腰足知覚障害,足->下肢しびれ
はれもの,,部位により病名が異なります。はれものがあるのはどの部位ですか？,頭->頭部浮腫,顔->顔面浮腫,眼->眼瞼浮腫,肩・腕・手->上肢浮腫,皮膚->浮腫
ヘルペス,,部位により病名が異なります。ヘルペスがあるのはどの部位ですか？,口・喉・あご->口唇ヘルペス,泌尿器・肛門->陰部ヘルペス,皮膚->ヘルペス
むくみ,,部位により病名が異なります。むくみがあるのはどの部位ですか？,全身->浮腫,肩・腕・手->上肢浮腫,足->下肢浮腫
やけど,,部位により病名が異なります。やけどがあるのはどの部位ですか？,頭->頭部熱傷,顔->顔面熱傷,首->頸部熱傷,肩・腕・手->上肢熱傷,胸->胸部熱傷,腹->腹部熱傷,腰->背部熱傷,泌尿器・肛門->肛門熱傷,足->下肢熱傷,皮膚->熱傷
関節痛,,部位により病名が異なります。関節痛があるのはどの部位ですか？,全身->関節痛,肩・腕・手->上肢関節痛,足->下肢関節痛
筋肉痛,,部位により病名が異なります。筋肉痛があるのはどの部位ですか？,全身->筋肉痛,首->頚肩部筋肉痛,肩・腕・手->上肢筋肉痛,腰->背部筋肉痛,足->下肢筋肉痛
神経痛,,部位により病名が異なります。神経痛があるのはどの部位ですか？,全身->神経痛,腰->背部神経痛
捻挫,,部位により病名が異なります。捻挫があるのはどの部位ですか？,肩・腕・手->上肢捻挫,足->下肢捻挫
麻痺,,部位により病名が異なります。麻痺があるのはどの部位ですか？,全身->麻痺,肩・腕・手->上肢麻痺,足->下肢麻痺
痙攣,,部位により病名が異なります。痙攣があるのはどの部位ですか？,肩・腕・手->上肢痙縮,足->下肢痙攣
